t, t_system, base_utc_sec, base_utc_nano, base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_llh_0,base_llh_1,base_llh_2,base_status, base_sats, base_ane_0,base_ane_1,base_ane_2,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status, sats, utc_sec, utc_nano, ane1_0,ane1_1,ane1_2,ane2_0,ane2_1,ane2_2,idx1, idx2, 
0.049,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.069,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.09,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.813785552978516,1.4410877227783203,-2.6975743770599365,0.2567127048969269,0.4553457796573639,-9.753613471984863,0.0029567843303084373,0.0017281248001381755,-0.0024923328310251236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.11,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.8112907409668,1.4446892738342285,-2.696716785430908,0.2526007294654846,0.48932498693466187,-9.717926025390625,0.0008275762666016817,0.0007564794505015016,-0.00264731515198946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.13,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.8106575012207,1.4441750049591064,-2.696303606033325,0.23074784874916077,0.4632996916770935,-9.711579322814941,0.0007403994677588344,-0.002547162352129817,-0.001296795904636383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.151,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.8106575012207,1.4441750049591064,-2.696303606033325,0.23074784874916077,0.4632996916770935,-9.711579322814941,0.0007403994677588344,-0.002547162352129817,-0.001296795904636383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.171,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.81044387817383,1.4431586265563965,-2.6946723461151123,0.23741444945335388,0.4495477080345154,-9.712862014770508,0.0033038819674402475,-0.0009212803561240435,0.0007594935595989227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.191,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.80754089355469,1.4448399543762207,-2.694140672683716,0.23883883655071259,0.46906888484954834,-9.698932647705078,-0.003675565356388688,0.0018513030372560024,-0.0012704236432909966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.212,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.80654525756836,1.4448431730270386,-2.696986675262451,0.2604579031467438,0.46687397360801697,-9.705159187316895,-0.00036356167402118444,-0.00236813398078084,2.8195790946483612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.232,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.80556869506836,1.4442399740219116,-2.697270631790161,0.25732874870300293,0.47036415338516235,-9.754721641540527,0.0003008696949109435,-0.0007050430867820978,-0.0002754116430878639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.252,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.80459213256836,1.443821668624878,-2.699422836303711,0.2527603507041931,0.4457164704799652,-9.72182846069336,-0.0027758218348026276,-0.0001913339365273714,-0.0019111139699816704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.273,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.80388259887695,1.4442027807235718,-2.7019541263580322,0.24128521978855133,0.46757644414901733,-9.742072105407715,-0.003298378549516201,-2.1511688828468323e-05,-0.000708400271832943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.293,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.80314254760742,1.4438762664794922,-2.7033538818359375,0.24767957627773285,0.4531833529472351,-9.667888641357422,0.0005007926374673843,-0.0013091941364109516,-0.00027056317776441574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.313,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.80254364013672,1.441479206085205,-2.7016029357910156,0.21482868492603302,0.45913931727409363,-9.7213134765625,0.002308785682544112,-0.0007150874007493258,-0.0004110904410481453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.333,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.80103302001953,1.442248821258545,-2.7001006603240967,0.2553345859050751,0.4595436453819275,-9.70632553100586,0.0018746121786534786,0.0022143519017845392,-0.0005342904478311539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.354,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.8009033203125,1.4446866512298584,-2.6998279094696045,0.2536797821521759,0.45467716455459595,-9.718700408935547,-0.00044034409802407026,-0.0010806121863424778,-0.0007997043430805206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.374,232713,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79960632324219,1.4430221319198608,-2.70004940032959,0.25622817873954773,0.44160813093185425,-9.744070053100586,-0.0001697055995464325,-0.001695301616564393,-0.0008717700839042664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
